;;;;;Peso fresco (g);;;;;;;;;;;Peso seco pericarpo + cotiledones (g);Peso seco cotiledones (g);
Especie;Tratamiento;Id;Longitud (mm);Anchura (mm);19-9-24 17:00;20-9-24 9:30;23-9-24 10:17;24-9-24 12:00;25-9-24 9:00;26-9-24 18:15;30-9-24 12:15;1-10-24 15:20;2-10-24 13:30;3-10-24 12:15;4-10-24 13:00;7-10-24 13:00;7-10-24 13:00;
Encina;Ambiente;1;39,51;13,27;4,13;4,057;3,855;3,789;3,734;3,662;3,461;3,408;3,368;3,332;3,285;2,603;1,797;
Encina;Ambiente;2;32,29;12,72;2,98;2,928;2,755;2,695;2,645;2,578;2,4;2,354;2,32;2,292;2,255;1,846;1,394;
Encina;Ambiente;3;37,41;12,45;2,995;2,927;2,725;2,654;2,597;2,518;2,301;2,243;2,199;2,16;2,11;1,584;0,974;
Encina;Ambiente;4;35,44;14,66;4,086;4,012;3,856;3,808;3,768;3,714;3,55;3,503;3,466;3,432;3,386;2,455;1,815;
Encina;Ambiente;5;37,2;15,58;4,864;4,793;4,578;4,505;4,443;4,359;4,117;4,049;3,996;3,948;3,887;2,847;2,087;
Encina;Ambiente;6;33,24;18,1;6,337;6,225;5,888;5,775;5,682;5,562;5,236;5,151;5,086;5,03;4,958;3,941;3,196;
Encina;Ambiente;7;33,82;15,37;4,351;4,198;3,866;3,772;3,698;3,603;3,344;3,278;3,229;3,185;3,128;2,388;1,736;
Encina;Ambiente;8;23,55;15,14;3,084;2,99;2,744;2,666;2,603;2,525;2,32;2,272;2,235;2,206;2,168;1,753;1,364;
Encina;Ambiente;9;37,38;16,88;4,87;4,78;4,516;4,434;4,368;4,28;4,038;3,975;3,926;3,882;3,825;2,455;1,712;
Encina;Ambiente;10;26,99;12,35;2,517;2,459;2,266;2,201;2,147;2,074;1,87;1,816;1,776;1,74;1,695;1,28;0,841;
Quejigo;Ambiente;1;27,39;12,71;2,735;2,644;2,452;2,389;2,334;2,268;2,091;2,05;2,022;2;1,971;1,685;1,402;
Quejigo;Ambiente;2;32,16;14,91;4,011;3,847;3,608;3,53;3,466;3,388;3,157;3,098;3,054;3,013;2,956;2,159;1,819;
Quejigo;Ambiente;3;27,43;12,87;2,692;2,586;2,312;2,224;2,154;2,072;1,883;1,853;1,835;1,825;1,807;1,612;1,319;
Quejigo;Ambiente;4;29,71;13,22;3,253;3,143;3,024;2,984;2,952;2,909;2,783;2,748;2,72;2,694;2,659;1,838;1,539;
Quejigo;Ambiente;5;26,98;12,57;2,57;2,464;2,271;2,209;2,158;2,093;1,915;1,872;1,842;1,818;1,786;1,486;1,205;
Quejigo;Ambiente;6;26,66;12,23;2,459;2,389;2,265;2,224;2,19;2,144;2,003;1,966;1,939;1,915;1,884;1,541;1,276;
Quejigo;Ambiente;7;23,52;11,43;1,875;1,792;1,687;1,656;1,63;1,596;1,49;1,462;1,441;1,423;1,396;1,113;0,894;
Quejigo;Ambiente;8;26,42;12,12;2,399;2,313;2,17;2,123;2,085;2,037;1,903;1,87;1,847;1,828;1,8;1,477;1,12;
Quejigo;Ambiente;9;23,29;11,62;2,089;2,004;1,844;1,788;1,742;1,686;1,533;1,498;1,474;1,454;1,427;1,189;0,913;
Quejigo;Ambiente;10;24,08;11,87;2,217;2,129;2,019;1,984;1,955;1,918;1,804;1,774;1,751;1,73;1,701;1,278;1,022;
